day,btc,eth
2017-09-07,4624.18,335.56
2017-09-08,4350.0,307.96
2017-09-09,4334.36,304.99
2017-09-10,4251.36,300.33
2017-09-11,4210.72,298.47
2017-09-12,4164.52,294.5
2017-09-13,3855.32,275.71
2017-09-14,3250.4,223.85
2017-09-15,3740.02,260.88
2017-09-16,3726.51,255.84
2017-09-17,3719.97,259.66
2017-09-18,4100.0,298.0
2017-09-19,3910.11,282.8
2017-09-20,3872.06,283.55
2017-09-21,3617.47,258.11
2017-09-22,3619.01,263.88
2017-09-23,3787.33,286.03
2017-09-24,3669.01,283.21
2017-09-25,3919.78,294.41
2017-09-26,3885.09,288.77
2017-09-27,4200.0,309.85
2017-09-28,4189.42,302.33
2017-09-29,4156.99,291.88
2017-09-30,4339.0,301.57
2017-10-01,4394.81,303.25
2017-10-02,4392.71,296.72
2017-10-03,4307.99,292.36
2017-10-04,4214.84,292.0
2017-10-05,4320.04,294.89
2017-10-06,4362.99,307.73
2017-10-07,4425.0,311.12
2017-10-08,4603.49,309.2
2017-10-09,4769.55,297.0
2017-10-10,4750.0,297.99
2017-10-11,4814.99,302.0
2017-10-12,5440.0,302.12
2017-10-13,5624.8,335.89
2017-10-14,5819.13,338.37
2017-10-15,5693.7,336.89
2017-10-16,5754.9,334.36
2017-10-17,5594.0,316.37
2017-10-18,5574.44,313.59
2017-10-19,5704.01,308.02
2017-10-20,5989.1,303.15
2017-10-21,6024.86,300.0
2017-10-22,6005.05,295.14
2017-10-23,5905.99,285.83
2017-10-24,5525.43,296.99
2017-10-25,5739.97,296.76
2017-10-26,5891.61,295.98
2017-10-27,5780.0,297.59
2017-10-28,5752.01,295.11
2017-10-29,6140.01,303.38
2017-10-30,6124.16,306.87
2017-10-31,6445.01,303.51
2017-11-01,6783.69,290.82
2017-11-02,7039.98,285.4
2017-11-03,7170.01,306.0
2017-11-04,7412.55,301.66
2017-11-05,7392.0,296.57
2017-11-06,6969.76,297.32
2017-11-07,7126.63,292.42
2017-11-08,7467.96,307.91
2017-11-09,7156.0,320.72
2017-11-10,6577.62,298.04
2017-11-11,6346.7,315.69
2017-11-12,5886.35,307.1
2017-11-13,6535.87,315.56
